X,Y,Yaw
0.532,-0.828784908,1.154396393
0.533,-0.826528156,1.153682945
0.534,-0.824275789,1.152962088
0.535,-0.822027839,1.152233595
0.536,-0.819784336,1.151497737
0.537,-0.817545311,1.150754286
0.538,-0.815310796,1.150003012
0.539,-0.813080821,1.149244184
0.54,-0.810855417,1.148477572
0.541,-0.808634616,1.147702941
0.542,-0.806418449,1.146920391
0.543,-0.804206945,1.146130194
0.544,-0.802000138,1.145331434
0.545,-0.799798058,1.144524719
0.546,-0.797600737,1.143709637
0.547,-0.795408206,1.142886287
0.548,-0.793220497,1.142054423
0.549,-0.791037642,1.14121397
0.55,-0.788859673,1.14036485
0.551,-0.786686622,1.139506985
0.552,-0.784518522,1.138640121
0.553,-0.782355406,1.137764176
0.554,-0.780197307,1.136879066
0.555,-0.778044258,1.135984706
0.556,-0.775896293,1.135080831
0.557,-0.773753446,1.134167353
0.558,-0.771615752,1.133244001
0.559,-0.769483246,1.13231068
0.56,-0.767355963,1.131367295
0.561,-0.765233938,1.130413748
0.562,-0.76311721,1.129449211
0.563,-0.761005814,1.128474306
0.564,-0.758899789,1.127488196
0.565,-0.756799173,1.126490953
0.566,-0.754704005,1.125482278
0.567,-0.752614325,1.124461868
0.568,-0.750530175,1.123429229
0.569,-0.748451594,1.122384795
0.57,-0.746378628,1.121327123
0.571,-0.744311318,1.120257019
0.572,-0.742249711,1.119173207
0.573,-0.740193853,1.118075729
0.574,-0.73814379,1.116964435
0.575,-0.736099573,1.115838206
0.576,-0.73406125,1.114697456
0.577,-0.732028876,1.113540657
0.578,-0.730002503,1.112368208
0.579,-0.727982187,1.111179143
0.58,-0.725967987,1.10997267
0.581,-0.723959963,1.108748382
0.582,-0.721958178,1.107505463
0.583,-0.719962697,1.106243281
0.584,-0.717973588,1.104960991
0.585,-0.715990924,1.103657321
0.586,-0.714014779,1.102331792
0.587,-0.712045233,1.100982885
0.588,-0.710082369,1.09960967
0.589,-0.708126276,1.098210573
0.59,-0.706177046,1.096784607
0.591,-0.704234779,1.095329717
0.592,-0.702299581,1.093844219
0.593,-0.700371565,1.092326178
0.594,-0.698450852,1.090773395
0.595,-0.696537573,1.089183188
0.596,-0.69463187,1.087552589
0.597,-0.692733897,1.085878334
0.598,-0.690843822,1.08415663
0.599,-0.688961831,1.082382698
0.6,-0.687088129,1.080551399
0.601,-0.685222949,1.078655429
0.602,-0.683365815,1.076852967
0.603,-0.681516301,1.075134738
0.604,-0.679674017,1.073494291
0.605,-0.677838613,1.071923995
0.606,-0.676009772,1.070417567
0.607,-0.674187207,1.06896921
0.608,-0.672370659,1.067573407
0.609,-0.670559893,1.066225416
0.61,-0.668754699,1.064920127
0.611,-0.666954887,1.063653479
0.612,-0.665160286,1.062421549
0.613,-0.663370746,1.061219843
0.614,-0.66158613,1.060045685
0.615,-0.659806321,1.05889466
0.616,-0.658031212,1.057764677
0.617,-0.656260705,1.056653846
0.618,-0.65449471,1.055560481
0.619,-0.652733136,1.054485056
0.62,-0.650975894,1.053427313
0.621,-0.649222893,1.052387966
0.622,-0.64747404,1.051367735
0.623,-0.645729237,1.050368081
0.624,-0.643988383,1.049389988
0.625,-0.642251372,1.048434941
0.626,-0.640518095,1.047503937
0.627,-0.63878844,1.046597977
0.628,-0.637062294,1.045717566
0.629,-0.635339542,1.044863455
0.63,-0.63362007,1.044035638
0.631,-0.631903761,1.04323511
0.632,-0.630190505,1.042460331
0.633,-0.628480187,1.041712789
0.634,-0.626772701,1.040990404
0.635,-0.625067938,1.040294137
0.636,-0.623365796,1.039622387
0.637,-0.621666174,1.038975071
0.638,-0.619968977,1.03835081
0.639,-0.618274111,1.037749498
0.64,-0.616581488,1.037169727
0.641,-0.614891023,1.036610851
0.642,-0.613202635,1.036071953
0.643,-0.611516249,1.035551585
0.644,-0.609831792,1.035049325
0.645,-0.608149195,1.034564225
0.646,-0.606468395,1.034094803
0.647,-0.60478933,1.033640873
0.648,-0.603111946,1.03320041
0.649,-0.601436189,1.032773475
0.65,-0.599762012,1.032358288
0.651,-0.598089367,1.031955162
0.652,-0.596418215,1.031561775
0.653,-0.594748518,1.031177902
0.654,-0.59308024,1.030803053
0.655,-0.591413349,1.030436203
0.656,-0.589747819,1.030075793
0.657,-0.588083622,1.029722378
0.658,-0.586420737,1.029374125
0.659,-0.584759144,1.029030785
0.66,-0.583098825,1.028691845
0.661,-0.581439766,1.028356253
0.662,-0.579781955,1.02802349
0.663,-0.578125381,1.027693296
0.664,-0.576470038,1.027364345
0.665,-0.574815918,1.027037176
